"Estimate","Std. Error","t value","term","metric","df","Pr(>|t|)"
-0.00121192978074774,0.0466629873904169,-0.0259719715458388,"(Intercept)","z_VoicedSegmentsPerSec",NA,0.979279694373391
-0.129454964512288,0.0537203628958451,-2.4097931870505,"conditionpositive","z_VoicedSegmentsPerSec",NA,0.0159615656164448
0.109314720774609,0.0445295093004636,2.45488267200535,"conditionnegative","z_VoicedSegmentsPerSec",NA,0.0140930577208196
0.00955575210077056,0.0316118369453775,0.302283986763631,"(Intercept)","z_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2",NA,0.762435584418863
-0.0042226533129316,0.0199110823991694,-0.212075528003829,"conditionpositive","z_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2",NA,0.832048111285156
0.0217654904225406,0.0176125858558487,1.23579187069301,"conditionnegative","z_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2",NA,0.216535937512768
-0.0187959054032413,0.0381349382917051,-0.492878872897762,"(Intercept)","z_loudness_sma3_amean",NA,0.622098176140483
-0.0360534669129926,0.0139327611037464,-2.58767566920373,"conditionpositive","z_loudness_sma3_amean",NA,0.00966259120795562
-0.0343256905731757,0.0123783251778771,-2.7730480561719,"conditionnegative","z_loudness_sma3_amean",NA,0.00555339191009174
-0.0889229921269115,0.0468863431570274,-1.89656488732975,"(Intercept)","z_HNRdBACF_sma3nz_amean",NA,0.0578853884866687
0.0611901080536511,0.0404617770234745,1.51229413424306,"conditionpositive","z_HNRdBACF_sma3nz_amean",NA,0.130459052617022
-0.0717069310770072,0.033474722170191,-2.14212176914979,"conditionnegative","z_HNRdBACF_sma3nz_amean",NA,0.0321836845707714
